"","qseqid","mrca","ps","mrca_name"
"1","g4.t1","131567",1,"cellular organisms"
"2","g5.t1","131567",1,"cellular organisms"
"3","g9.t1","131567",1,"cellular organisms"
"4","g12.t1","131567",1,"cellular organisms"
"5","g14.t1","131567",1,"cellular organisms"
"6","g14.t2","131567",1,"cellular organisms"
"7","g30.t1","131567",1,"cellular organisms"
"8","g47.t1","131567",1,"cellular organisms"
"9","g50.t1","131567",1,"cellular organisms"
"10","g51.t1","131567",1,"cellular organisms"
"11","g54.t1","131567",1,"cellular organisms"
"12","g57.t1","131567",1,"cellular organisms"
"13","g59.t1","131567",1,"cellular organisms"
"14","g61.t1","131567",1,"cellular organisms"
"15","g62.t1","131567",1,"cellular organisms"
"16","g65.t1","131567",1,"cellular organisms"
"17","g83.t1","131567",1,"cellular organisms"
"18","g85.t1","131567",1,"cellular organisms"
"19","g86.t1","131567",1,"cellular organisms"
"20","g91.t1","131567",1,"cellular organisms"
"21","g93.t1","131567",1,"cellular organisms"
"22","g97.t1","131567",1,"cellular organisms"
"23","g101.t1","131567",1,"cellular organisms"
"24","g103.t1","131567",1,"cellular organisms"
"25","g108.t1","131567",1,"cellular organisms"
"26","g154.t1","131567",1,"cellular organisms"
"27","g157.t1","131567",1,"cellular organisms"
"28","g159.t1","131567",1,"cellular organisms"
"29","g160.t1","131567",1,"cellular organisms"
"30","g163.t1","131567",1,"cellular organisms"
"31","g170.t1","131567",1,"cellular organisms"
"32","g186.t1","131567",1,"cellular organisms"
"33","g196.t1","131567",1,"cellular organisms"
"34","g197.t1","131567",1,"cellular organisms"
"35","g206.t1","131567",1,"cellular organisms"
"36","g208.t1","131567",1,"cellular organisms"
"37","g218.t1","131567",1,"cellular organisms"
"38","g230.t1","131567",1,"cellular organisms"
"39","g236.t1","131567",1,"cellular organisms"
"40","g240.t1","131567",1,"cellular organisms"
"41","g254.t1","131567",1,"cellular organisms"
"42","g258.t1","131567",1,"cellular organisms"
"43","g272.t1","131567",1,"cellular organisms"
"44","g275.t1","131567",1,"cellular organisms"
"45","g276.t1","131567",1,"cellular organisms"
"46","g282.t1","131567",1,"cellular organisms"
"47","g295.t1","131567",1,"cellular organisms"
"48","g299.t1","131567",1,"cellular organisms"
"49","g301.t1","131567",1,"cellular organisms"
"50","g302.t1","131567",1,"cellular organisms"
"51","g309.t1","131567",1,"cellular organisms"
"52","g320.t1","131567",1,"cellular organisms"
"53","g321.t1","131567",1,"cellular organisms"
"54","g326.t1","131567",1,"cellular organisms"
"55","g327.t1","131567",1,"cellular organisms"
"56","g328.t1","131567",1,"cellular organisms"
"57","g330.t1","131567",1,"cellular organisms"
"58","g331.t1","131567",1,"cellular organisms"
"59","g336.t1","131567",1,"cellular organisms"
"60","g339.t1","131567",1,"cellular organisms"
"61","g348.t1","131567",1,"cellular organisms"
"62","g349.t1","131567",1,"cellular organisms"
"63","g351.t1","131567",1,"cellular organisms"
"64","g354.t1","131567",1,"cellular organisms"
"65","g355.t1","131567",1,"cellular organisms"
"66","g369.t1","131567",1,"cellular organisms"
"67","g374.t1","131567",1,"cellular organisms"
"68","g380.t1","131567",1,"cellular organisms"
"69","g381.t1","131567",1,"cellular organisms"
"70","g382.t1","131567",1,"cellular organisms"
"71","g402.t1","131567",1,"cellular organisms"
"72","g408.t1","131567",1,"cellular organisms"
"73","g414.t1","131567",1,"cellular organisms"
"74","g423.t1","131567",1,"cellular organisms"
"75","g426.t1","131567",1,"cellular organisms"
"76","g427.t1","131567",1,"cellular organisms"
"77","g430.t1","131567",1,"cellular organisms"
"78","g431.t1","131567",1,"cellular organisms"
"79","g450.t1","131567",1,"cellular organisms"
"80","g461.t1","131567",1,"cellular organisms"
"81","g473.t1","131567",1,"cellular organisms"
"82","g476.t1","131567",1,"cellular organisms"
"83","g476.t2","131567",1,"cellular organisms"
"84","g480.t1","131567",1,"cellular organisms"
"85","g481.t1","131567",1,"cellular organisms"
"86","g482.t1","131567",1,"cellular organisms"
"87","g487.t1","131567",1,"cellular organisms"
"88","g510.t1","131567",1,"cellular organisms"
"89","g511.t1","131567",1,"cellular organisms"
"90","g514.t1","131567",1,"cellular organisms"
"91","g521.t1","131567",1,"cellular organisms"
"92","g522.t1","131567",1,"cellular organisms"
"93","g530.t1","131567",1,"cellular organisms"
"94","g532.t1","131567",1,"cellular organisms"
"95","g532.t2","131567",1,"cellular organisms"
"96","g544.t1","131567",1,"cellular organisms"
"97","g551.t1","131567",1,"cellular organisms"
"98","g552.t1","131567",1,"cellular organisms"
"99","g560.t1","131567",1,"cellular organisms"
"100","g564.t1","131567",1,"cellular organisms"
"101","g567.t1","131567",1,"cellular organisms"
"102","g576.t1","131567",1,"cellular organisms"
"103","g577.t1","131567",1,"cellular organisms"
"104","g588.t1","131567",1,"cellular organisms"
"105","g589.t1","131567",1,"cellular organisms"
"106","g592.t1","131567",1,"cellular organisms"
"107","g600.t1","131567",1,"cellular organisms"
"108","g602.t1","131567",1,"cellular organisms"
"109","g606.t1","131567",1,"cellular organisms"
"110","g614.t1","131567",1,"cellular organisms"
"111","g632.t1","131567",1,"cellular organisms"
"112","g636.t1","131567",1,"cellular organisms"
"113","g638.t1","131567",1,"cellular organisms"
"114","g639.t1","131567",1,"cellular organisms"
"115","g650.t1","131567",1,"cellular organisms"
"116","g652.t1","131567",1,"cellular organisms"
"117","g656.t1","131567",1,"cellular organisms"
"118","g657.t1","131567",1,"cellular organisms"
"119","g657.t2","131567",1,"cellular organisms"
"120","g658.t1","131567",1,"cellular organisms"
"121","g662.t1","131567",1,"cellular organisms"
"122","g663.t1","131567",1,"cellular organisms"
"123","g671.t1","131567",1,"cellular organisms"
"124","g675.t1","131567",1,"cellular organisms"
"125","g676.t1","131567",1,"cellular organisms"
