ID	len	gc	PS	Presence
mikado.4G7784.1	1428	0.466387	cellular_organisms	match
mikado.5G2894.1	1728	0.433449	cellular_organisms	match
mikado.1G162.1	2325	0.502796	cellular_organisms	match
mikado.3G3330.1	1191	0.439127	cellular_organisms	match
mikado.1G5950.2	1644	0.456813	cellular_organisms	no-match
mikado.1G1274.1	1392	0.453305	cellular_organisms	match
mikado.2G3845.1	768	0.463542	cellular_organisms	match
mikado.1G12193.1	696	0.418103	cellular_organisms	match
mikado.3G6064.1	4143	0.416365	cellular_organisms	no-match
mikado.3G3004.2	630	0.457143	cellular_organisms	match
mikado.5G6438.1	1947	0.441192	cellular_organisms	match
mikado.5G12390.2	1419	0.396758	cellular_organisms	no-match
mikado.1G10608.1	579	0.44905	cellular_organisms	no-match
mikado.3G8514.1	2808	0.431268	cellular_organisms	match
mikado.1G1509.2	1293	0.45785	cellular_organisms	no-match
mikado.2G3272.1	1278	0.399844	cellular_organisms	match
mikado.5G3241.1	1980	0.472222	cellular_organisms	match
mikado.5G9139.2	1068	0.424157	cellular_organisms	no-match
mikado.4G18.1	1293	0.515081	cellular_organisms	match
mikado.1G1124.2	2778	0.404248	cellular_organisms	no-match
mikado.4G5784.1	999	0.43043	cellular_organisms	no-match
mikado.5G7618.1	1422	0.421941	cellular_organisms	match
mikado.1G29.1	1479	0.469912	cellular_organisms	match
mikado.1G262.1	1581	0.454143	cellular_organisms	match
mikado.1G10721.1	1656	0.408213	cellular_organisms	match
mikado.5G9790.1	633	0.478673	cellular_organisms	match
mikado.2G6539.1	1989	0.432378	cellular_organisms	match
mikado.5G7194.1	1311	0.40122	cellular_organisms	match
mikado.4G8194.1	468	0.529915	cellular_organisms	match
mikado.2G8610.1	1485	0.425589	cellular_organisms	match
mikado.1G13184.2	1248	0.44391	cellular_organisms	match
mikado.3G419.1	2475	0.420202	cellular_organisms	match
mikado.1G2692.1	3444	0.445703	cellular_organisms	match
mikado.1G10882.1	1716	0.445804	cellular_organisms	match
mikado.2G4450.2	963	0.466251	cellular_organisms	no-match
mikado.4G4463.1	1893	0.449551	cellular_organisms	match
mikado.1G12810.1	1551	0.46744	cellular_organisms	match
mikado.4G3802.1	1248	0.472756	cellular_organisms	match
mikado.1G13432.1	1146	0.440663	cellular_organisms	match
mikado.3G8474.1	930	0.416129	cellular_organisms	match
mikado.1G13197.1	672	0.494048	cellular_organisms	match
mikado.4G1126.1	1953	0.441884	cellular_organisms	match
mikado.2G4951.1	1494	0.435743	cellular_organisms	match
mikado.3G9852.1	870	0.464368	cellular_organisms	match
mikado.5G508.1	585	0.42906	cellular_organisms	match
mikado.3G2735.1	1500	0.447333	cellular_organisms	match
mikado.5G7901.1	1350	0.461481	cellular_organisms	match
mikado.5G11171.1	2643	0.441165	cellular_organisms	match
mikado.1G8623.1	1821	0.458539	cellular_organisms	match
mikado.1G1008.1	2490	0.485944	cellular_organisms	match
mikado.5G5022.1	444	0.470721	cellular_organisms	match
